"","chr","pos","neg_log10p"
"1","chrX",316075,1.04443765190723
"2","chrX",336075,0.982035093909269
"3","chrX",356075,1.17153172140643
"4","chrX",376075,1.03787601820624
"5","chrX",396075,0.869406083492436
"6","chrX",416075,0.793291801445031
"7","chrX",436075,0.820045086533239
"8","chrX",456075,0.723986512501846
"9","chrX",476075,0.643303171025405
"10","chrX",496075,0.574921615757584
"11","chrX",516075,0.525004633405754
"12","chrX",536075,0.506134797340083
"13","chrX",556075,0.506530915417983
"14","chrX",576075,0.451220698093669
"15","chrX",596075,0.404272817381597
"16","chrX",616075,0.328062517312279
"17","chrX",636075,0.375224000037317
"18","chrX",656075,0.442902931280198
"19","chrX",676075,0.528498572996139
"20","chrX",696075,0.39399294369108
"21","chrX",716075,0.36034590641995
"22","chrX",736075,0.337673717448561
"23","chrX",756075,0.326176609066517
"24","chrX",776075,0.342336310657195
"25","chrX",796075,0.347142121481563
"26","chrX",816075,0.338921894867511
"27","chrX",836075,0.396786825930135
"28","chrX",856075,0.407634200260441
"29","chrX",876075,0.417644198560617
"30","chrX",896075,0.372172753527967
"31","chrX",916075,0.479262608941635
"32","chrX",936075,0.486814341481312
"33","chrX",956075,0.463965799256582
"34","chrX",976075,0.519973844934466
"35","chrX",996075,0.595730316882741
"36","chrX",1016075,0.678237273161764
"37","chrX",1036075,0.642338696859993
"38","chrX",1056075,0.585568462249403
"39","chrX",1076075,0.680901715384149
"40","chrX",1096075,0.699805517625396
"41","chrX",1116075,0.743145601805154
"42","chrX",1136075,0.751307741605091
"43","chrX",1156075,0.737189025594117
"44","chrX",1176075,0.713188592315062
"45","chrX",1196075,0.727496058389753
"46","chrX",1216075,0.860726805617826
"47","chrX",1236075,0.695831338099016
"48","chrX",1256075,0.695959715855516
"49","chrX",1276075,0.717118434491818
"50","chrX",1296075,0.732197459999062
"51","chrX",1316075,0.642567982640119
"52","chrX",1336075,0.650043376416098
"53","chrX",1356075,0.650458182898935
"54","chrX",1376075,0.570286119617525
"55","chrX",1396075,0.521591163568531
"56","chrX",1416075,0.526852764614645
