"chr","pos","neg_log10p_model1.x","neg_log10p_model1.y"
"chrX",316075,1.04443765190723,0.923175899630516
"chrX",336075,0.982035093909269,0.887781257379784
"chrX",356075,1.17153172140643,1.08149160428009
"chrX",376075,1.03787601820624,0.951541839278336
"chrX",396075,0.869406083492436,0.78913515614245
"chrX",416075,0.793291801445031,0.676056958835293
"chrX",436075,0.820045086533239,0.697582367833935
"chrX",456075,0.723986512501846,0.609719230065127
"chrX",476075,0.643303171025405,0.538348477758292
"chrX",496075,0.574921615757584,0.479271474824951
"chrX",516075,0.525004633405754,0.434075747950783
"chrX",536075,0.506134797340083,0.417261079194512
"chrX",556075,0.506530915417983,0.416768774915927
"chrX",576075,0.451220698093669,0.36655135359946
"chrX",596075,0.404272817381597,0.324910670060978
"chrX",616075,0.328062517312279,0.254390782854425
"chrX",636075,0.375224000037317,0.299610795951738
"chrX",656075,0.442902931280198,0.358761132408619
"chrX",676075,0.528498572996139,0.431146556046176
"chrX",696075,0.39399294369108,0.313778513683632
"chrX",716075,0.36034590641995,0.283056344842655
"chrX",736075,0.337673717448561,0.262399277347638
"chrX",756075,0.326176609066517,0.251841263053876
"chrX",776075,0.342336310657195,0.267906717639837
"chrX",796075,0.347142121481563,0.272588227100361
"chrX",816075,0.338921894867511,0.272888454319763
"chrX",836075,0.396786825930135,0.32150129227774
"chrX",856075,0.407634200260441,0.333903296077669
"chrX",876075,0.417644198560617,0.342791261429452
"chrX",896075,0.372172753527967,0.295472704501679
"chrX",916075,0.479262608941635,0.397414017928384
"chrX",936075,0.486814341481312,0.404402676213135
"chrX",956075,0.463965799256582,0.383435192625242
"chrX",976075,0.519973844934466,0.433477781717526
"chrX",996075,0.595730316882741,0.507736250824689
"chrX",1016075,0.678237273161764,0.593035440559665
"chrX",1036075,0.642338696859993,0.560074411488719
"chrX",1056075,0.585568462249403,0.505334401100964
"chrX",1076075,0.680901715384149,0.601182471599726
"chrX",1096075,0.699805517625396,0.616709865402219
"chrX",1116075,0.743145601805154,0.647593399287927
"chrX",1136075,0.751307741605091,0.664812655270316
"chrX",1156075,0.737189025594117,0.651265357302687
"chrX",1176075,0.713188592315062,0.62255992130677
"chrX",1196075,0.727496058389753,0.6395219463055
"chrX",1216075,0.860726805617826,0.743772593511077
"chrX",1236075,0.695831338099016,0.60771410349569
"chrX",1256075,0.695959715855516,0.604708226082693
"chrX",1276075,0.717118434491818,0.632813271775768
"chrX",1296075,0.732197459999062,0.662032712175294
"chrX",1316075,0.642567982640119,0.568192414727352
"chrX",1336075,0.650043376416098,0.575441146887717
"chrX",1356075,0.650458182898935,0.574347195670477
"chrX",1376075,0.570286119617525,0.498456247533538
"chrX",1396075,0.521591163568531,0.452472212379725
"chrX",1416075,0.526852764614645,0.455315525016916
"chrX",1436075,0.48763922978615,0.419330641760674
"chrX",1456075,0.495888087030972,0.426114579233903
"chrX",1476075,0.540840798219969,0.449415303306879
"chrX",1496075,0.550354894722422,0.462440381544094
"chrX",1516075,0.560487479160125,0.462001725648546
"chrX",1536075,0.543852181812021,0.445221174375231
"chrX",1556075,0.682953397958436,0.571677301119093
"chrX",1576075,0.601209189914289,0.496029215465556
"chrX",1596075,0.63787227092006,0.529995803649671
"chrX",1616075,0.589422277143334,0.4877971805947
"chrX",1636075,0.567101093847876,0.467375636155652
"chrX",1656075,0.526908109044093,0.428154113678507
"chrX",1676075,0.542598407798976,0.44834192533661
"chrX",1696075,0.518233304171595,0.427408666550581
"chrX",1716075,0.480203401142776,0.390449215011582
"chrX",1736075,0.421313432061102,0.336187769554912
"chrX",1756075,0.417365114613761,0.329564629418167
"chrX",1776075,0.424322425015947,0.335083231347664
"chrX",1796075,0.393786738084439,0.308493070819812
"chrX",1816075,0.368846943303947,0.286646975781191
"chrX",1836075,0.420835804595066,0.332313894979479
"chrX",1856075,0.50066063583056,0.403750272349936
"chrX",1876075,0.433889946236738,0.350764759510697
"chrX",1896075,0.335861513981198,0.261043657562478
"chrX",1916075,0.261216865630663,0.199232579725351
"chrX",1936075,0.223304596592137,0.167470860521682
"chrX",1956075,0.213141456999672,0.161136790000099
"chrX",1976075,0.219473813317834,0.167692496375809
"chrX",1996075,0.270205096951128,0.211480486785398
"chrX",2016075,0.307719735657294,0.244852517653697
"chrX",2036075,0.280883223970759,0.224766576933103
"chrX",2056075,0.325732236734567,0.27429605462144
"chrX",2076075,0.377415737509148,0.317735865498994
"chrX",2096075,0.429158413743872,0.360043494402141
"chrX",2116075,0.468461862378302,0.396737399199051
"chrX",2136075,0.441323634834021,0.368454604033136
"chrX",2156075,0.45202122018334,0.375621293659867
"chrX",2176075,0.47218910965917,0.39149542088021
"chrX",2196075,0.59520655498702,0.506679057682744
"chrX",2216075,0.52037204236361,0.440931585945093
"chrX",2236075,0.441085275714041,0.370847806423295
"chrX",2256075,0.461707344638525,0.386971120247628
"chrX",2276075,0.419941600661969,0.351743134887719
"chrX",2296075,0.38690281536247,0.32464249009741
"chrX",2316075,0.372259922901537,0.307887101764708
"chrX",2336075,0.340336693506521,0.281441179985921
"chrX",2356075,0.271473302923799,0.219425688987289
"chrX",2376075,0.267974906763761,0.225605044295501
"chrX",2396075,0.203239828695859,0.17266251448614
"chrX",2416075,0.198525153991577,0.169142957083901
"chrX",2436075,0.213988316245499,0.171404479450918
"chrX",2456075,0.219309065626818,0.178749329808158
"chrX",2476075,0.200116224372913,0.158080591679191
"chrX",2496075,0.164394396270998,0.129361426855616
"chrX",2516075,0.166419951781152,0.131506898542919
"chrX",2536075,0.159791775329107,0.12771656462291
"chrX",2556075,0.124108300706822,0.10719196518999
"chrX",2576075,0.101474699980283,0.0805897199271117
"chrX",2596075,0.116022008535193,0.0922152868416659
"chrX",2616075,0.127231211741658,0.101350402730117
"chrX",2636075,0.138683242247649,0.113635633314698
"chrX",2656075,0.162440541500545,0.130464174439633
"chrX",2676075,0.158993668638929,0.134467142327786
"chrX",2696075,0.168260954049137,0.138834516840265
"chrX",2716075,0.147482037947608,0.124137950506276
"chrX",2736075,0.166151341892722,0.134753028757345
"chrX",2756075,0.252292930673603,0.205196270922027
"chrX",2776075,0.233460397959966,0.192219778946158
"chrX",2796075,0.232731813668127,0.191830886806692
"chrX",2816075,0.223713083597565,0.185858195747485
"chrX",2836075,0.207867204693686,0.171069985747571
"chrX",2856075,0.211407411644631,0.16980814881504
"chrX",2876075,0.230009411564047,0.183627087575947
"chrX",2896075,0.292435429936472,0.239013033726645
"chrX",2916075,0.291251709061007,0.239711905570006
"chrX",2936075,0.269017878827615,0.224437262442761
"chrX",2956075,0.303977816554928,0.247719001788211
"chrX",2976075,0.301508025104291,0.240300278595751
"chrX",2996075,0.207503783867976,0.159469218250441
"chrX",3016075,0.164422140599755,0.122230319067772
"chrX",3036075,0.137435063796099,0.0993002287369234
"chrX",3056075,0.0904409509425163,0.0647300512104633
"chrX",3076075,0.0496794956667423,0.0333922512310534
"chrX",3096075,0.0397492605076545,0.0265782368684354
"chrX",3116075,0.0363470383502255,0.024571421132951
"chrX",3136075,0.0221549585289947,0.0145314323883489
"chrX",3156075,0.0224744533009819,0.0145905342069971
"chrX",3176075,0.0195602315213372,0.0124680998103928
"chrX",3196075,0.0189500406265244,0.0115919258174222
"chrX",3216075,0.00711207812982407,0.00339689871155087
"chrX",3236075,0.00464919438869317,0.00199660448761032
"chrX",3256075,0.00745273710151422,0.0034571189297171
"chrX",3276075,0.0112336380317535,0.0054475924852355
"chrX",3296075,0.0144700718902243,0.00711911397663409
"chrX",3316075,0.0163805162796506,0.00823851942631136
"chrX",3336075,0.0182272279816159,0.00946492420472263
"chrX",3356075,0.0188839901307697,0.010098435026564
"chrX",3376075,0.02269253637913,0.0126959913629363
"chrX",3396075,0.0172284141417416,0.00922239309903347
"chrX",3416075,0.0143645960755705,0.00733641680617708
"chrX",3436075,0.0113324072864353,0.0055179355368575
"chrX",3456075,0.00837747491153776,0.00380073566485846
"chrX",3476075,0.00818673614185276,0.00373344635825233
"chrX",3496075,0.00955806507377795,0.0044798468608971
"chrX",3516075,0.0072979718858533,0.00324460620988051
"chrX",3536075,0.0149005284364757,0.0073884607771562
"chrX",3556075,0.0212081791502044,0.0111224138419446
