"","chr","pos","neg_log10p"
"1","chrX",316075,0.923175899630516
"2","chrX",336075,0.887781257379784
"3","chrX",356075,1.08149160428009
"4","chrX",376075,0.951541839278336
"5","chrX",396075,0.78913515614245
"6","chrX",416075,0.676056958835293
"7","chrX",436075,0.697582367833935
"8","chrX",456075,0.609719230065127
"9","chrX",476075,0.538348477758292
"10","chrX",496075,0.479271474824951
"11","chrX",516075,0.434075747950783
"12","chrX",536075,0.417261079194512
"13","chrX",556075,0.416768774915927
"14","chrX",576075,0.36655135359946
"15","chrX",596075,0.324910670060978
"16","chrX",616075,0.254390782854425
"17","chrX",636075,0.299610795951738
"18","chrX",656075,0.358761132408619
"19","chrX",676075,0.431146556046176
"20","chrX",696075,0.313778513683632
"21","chrX",716075,0.283056344842655
"22","chrX",736075,0.262399277347638
"23","chrX",756075,0.251841263053876
"24","chrX",776075,0.267906717639837
"25","chrX",796075,0.272588227100361
"26","chrX",816075,0.272888454319763
"27","chrX",836075,0.32150129227774
"28","chrX",856075,0.333903296077669
"29","chrX",876075,0.342791261429452
"30","chrX",896075,0.295472704501679
"31","chrX",916075,0.397414017928384
"32","chrX",936075,0.404402676213135
"33","chrX",956075,0.383435192625242
"34","chrX",976075,0.433477781717526
"35","chrX",996075,0.507736250824689
"36","chrX",1016075,0.593035440559665
"37","chrX",1036075,0.560074411488719
"38","chrX",1056075,0.505334401100964
"39","chrX",1076075,0.601182471599726
"40","chrX",1096075,0.616709865402219
"41","chrX",1116075,0.647593399287927
"42","chrX",1136075,0.664812655270316
"43","chrX",1156075,0.651265357302687
"44","chrX",1176075,0.62255992130677
"45","chrX",1196075,0.6395219463055
"46","chrX",1216075,0.743772593511077
"47","chrX",1236075,0.60771410349569
"48","chrX",1256075,0.604708226082693
"49","chrX",1276075,0.632813271775768
"50","chrX",1296075,0.662032712175294
"51","chrX",1316075,0.568192414727352
"52","chrX",1336075,0.575441146887717
"53","chrX",1356075,0.574347195670477
"54","chrX",1376075,0.498456247533538
"55","chrX",1396075,0.452472212379725
"56","chrX",1416075,0.455315525016916
"57","chrX",1436075,0.419330641760674
"58","chrX",1456075,0.426114579233903
"59","chrX",1476075,0.449415303306879
"60","chrX",1496075,0.462440381544094
"61","chrX",1516075,0.462001725648546
"62","chrX",1536075,0.445221174375231
"63","chrX",1556075,0.571677301119093
"64","chrX",1576075,0.496029215465556
"65","chrX",1596075,0.529995803649671
